title,Bag_of_words
Driven, romance romance k.bromberg new york time best selling author k bromberg come unforgettable series lust love redemption healing ... path never crossed colton donavan arrogant exuded bad boy vibe embodied everything wanted yet took one night hallway stolen kiss know hated desired instan
The Message for the Last Days, contemporary epic k.j.soze award winning book examines biblical quest obtain eternal life guide reader journey step progression ancient prophecy final fulfillment message last day map god intersection temporary condition future revealed understanding past history mystery ar
Carpe Jugulum, fantasy fiction terrypratchett fit enlightenment democracy ebullient goodwill king verence invite uberwald undead magpyrs lancre celebrate birth daughter ensconced within castle wine drinking garlic eating sun loving modern vampire intention leaving ever uneasy alliance nervous young priest argumentati
Sempre, romance newadult j.m.darhower story sacrifice ... death love freedom forever antonelli carmine demarco grew vastly different circumstance second generation slave isolated middle desert day full hard work terrifying abuse born wealthy mafia family lived life privilege exc
Of Love and Other Demons, fiction magicalrealism gabrielgarcíamárquez twelfth birthday sierva maria child decaying noble family eighteenth century south american seaport bitten rabid dog believed possessed brought convent observation cell stumble father cayetano delaura already dreamed girl hair trailing like bridal train ten
My Name Is Memory," romance fiction annbrashares daniel spent century falling love girl life crossing continent dynasty sophia despite changing name form drawn together remembers memory "", ability recall past life recognize soul previously known gift curse time"
Tiger's Destiny, fantasy youngadult colleenhouck three goddess durga quest behind one prophecy stand way kelsey ren kishan breaking tiger curse trio greatest challenge awaits life endangering pursuit search final gift rope fire andaman island bay bengal race time evil sorcerer lokesh
We Should All Be Feminists, nonfiction feminism chimamandangoziadichie “ feminism ” mean today question heart feminist personal eloquently argued essay — adapted much viewed tedx talk name chimamanda ngozi adichie award winning author americanah half yellow sun humor levity offer reader unique definition
Nevermore," youngadult fantasy jamespatterson maximum ride faithful friend stand ready face two greatest threat humankind ever known -- combining force unbeatable plot destroy life know time enemy truly stopped danger mount boy genetically engineered perfect match "", dylan finally worked way int"
Colorless Tsukuru Tazaki and his years of pilgrimage," fiction cultural harukimurakami mesmerising mystery story friendship internationally bestselling author norwegian wood 1q84tsukuru tazaki four best friend school chance name contained colour two boy called akamatsu meaning ‘ red pine ’, oumi blue sea girl ’ shirane white root kurono black field ’. w"
Case Histories, mystery fiction kateatkinson first book kate atkinson jackson brodie mystery series called best mystery decade stephen king find private investigator following three seemingly unconnected family cambridge case one little girl go missing night two beautiful young office worker fall victim maniac apparently random
The Laughing Corpse, fantasy urbanfantasy laurellk.hamilton harold gaynor offer anita blake million dollar raise 300 year old zombie knowing mean human sacrifice necessary turn dead body start turning realizes someone else raised -- killer pit power voodoo priestess control
The Storyteller, youngadult contemporary antoniamichaelis anna abel ’ different seventeen last year school life nice old town house come well family drug dealer big prisonlike tower block edge afraid realizes caring six sister fasc
A Swiftly Tilting Planet, fantasy youngadult madeleinel'engle companion volume wrinkle time newbery award winner wind door fifteen year old charles wallace unicorn gaudior undertake perilous journey desperate attempt stop destruction world mad dictator madog branzillo alone quest sister meg grown expecting
